Timestamp,1. Age,2. Gender,"3. On average, how many hours do you sleep per night?",4. How many hours of screen time do you have before bed?,"5. How many cups of caffeinated drinks (coffee, tea, energy drinks) do you have per day?",6. How many hours before bed time do you usually have your last caffeinated drink?,"7. On average, how much time of physical exercise do you get per day?","8. On a scale of 1–5, how would you rate your daily stress level?",9. When do you usually sleep?,"10. On a scale of 1–5, how would you rate your overall sleep quality?"
29/07/2026 20:35:14,24,Male,3–5 hours,1–2 hours,1,6+ hours before bed,30-60 Minutes,2,Morning,3
29/07/2026 20:38:40,23,Male,6–8 hours,1–2 hours,1,6+ hours before bed,30-60 Minutes,3,Morning,2
29/07/2026 20:39:11,25,Female,6–8 hours,1–2 hours,1,3–5 hours before bed,30-60 Minutes,2,Night,4
29/07/2026 20:40:26,24,Male,3–5 hours,3+ hours,2,3–5 hours before bed,2+,5,Morning,1
29/07/2026 20:43:09,28,Male,6–8 hours,0–1 hours,1,6+ hours before bed,30-60 Minutes,1,Night,4
29/07/2026 20:45:40,15,Male,9–11+ hours,1–2 hours,0,3–5 hours before bed,Under 30 Minutes,2,Night,4
29/07/2026 20:46:41,25,Female,9–11+ hours,1–2 hours,2,0–2 hours before bed,Under 30 Minutes,4,Morning,4
29/07/2026 20:46:43,18,Female,6–8 hours,3+ hours,0,Never,None,2,Night,3
29/07/2026 20:47:08,38,Female,6–8 hours,2–3 hours,2,6+ hours before bed,None,2,Night,4
29/07/2026 20:47:19,25,Female,6–8 hours,2–3 hours,3,3–5 hours before bed,None,3,Night,3
29/07/2026 20:49:23,18,Male,9–11+ hours,2–3 hours,4,6+ hours before bed,Under 30 Minutes,2,Morning,5
29/07/2026 20:50:50,15,Female,9–11+ hours,3+ hours,1,3–5 hours before bed,None,3,Morning,4
29/07/2026 20:50:53,27,Female,9–11+ hours,3+ hours,2,3–5 hours before bed,None,2,Morning,5
29/07/2026 20:50:55,17,Female,3–5 hours,3+ hours,3,3–5 hours before bed,1-2 Hours,3,Morning,4
29/07/2026 20:51:45,18,Female,6–8 hours,3+ hours,1,3–5 hours before bed,30-60 Minutes,2,Morning,3
29/07/2026 20:53:29,21,Male,9–11+ hours,2–3 hours,2,3–5 hours before bed,Under 30 Minutes,2,Night,3
29/07/2026 20:53:30,25,Male,6–8 hours,2–3 hours,2,3–5 hours before bed,30-60 Minutes,2,Night,3
29/07/2026 21:06:19,18,Female,6–8 hours,3+ hours,2,3–5 hours before bed,1-2 Hours,3,Night,3
29/07/2026 21:06:46,19,Female,6–8 hours,2–3 hours,1,3–5 hours before bed,Under 30 Minutes,3,Night,5
29/07/2026 21:07:24,24,Female,6–8 hours,2–3 hours,1,3–5 hours before bed,30-60 Minutes,5,Morning,3
29/07/2026 21:08:33,16,Female,3–5 hours,3+ hours,3,0–2 hours before bed,1-2 Hours,3,Night,2
29/07/2026 21:16:07,27,Male,6–8 hours,3+ hours,2,3–5 hours before bed,None,3,Morning,2
29/07/2026 21:16:15,24,Male,9–11+ hours,3+ hours,2,0–2 hours before bed,2+,5,Morning,1
29/07/2026 21:16:53,15,Female,3–5 hours,1–2 hours,0,Never,30-60 Minutes,4,Morning,3
29/07/2026 21:19:50,22,Female,3–5 hours,2–3 hours,1,6+ hours before bed,None,3,Morning,1
29/07/2026 21:20:42,18,Female,9–11+ hours,1–2 hours,2,3–5 hours before bed,Under 30 Minutes,3,Morning,2
29/07/2026 21:22:08,17,Female,6–8 hours,2–3 hours,0,Never,None,3,Night,3
29/07/2026 21:27:01,56,Female,6–8 hours,3+ hours,3,0–2 hours before bed,None,3,Morning,4
29/07/2026 21:28:34,63,Female,9–11+ hours,3+ hours,3,3–5 hours before bed,30-60 Minutes,4,Morning,5
29/07/2026 21:37:10,24,Female,6–8 hours,0–1 hours,2,3–5 hours before bed,Under 30 Minutes,2,Night,4
29/07/2026 21:39:20,24,Female,6–8 hours,1–2 hours,1,6+ hours before bed,30-60 Minutes,3,Night,3
29/07/2026 21:50:41,25,Female,9–11+ hours,0–1 hours,1,6+ hours before bed,None,5,Morning,4
29/07/2026 22:03:10,24,Male,6–8 hours,0–1 hours,2,3–5 hours before bed,None,3,Night,4
29/07/2026 22:03:50,22,Male,6–8 hours,0–1 hours,1,6+ hours before bed,30-60 Minutes,2,Night,5
29/07/2026 22:06:15,24,Female,6–8 hours,2–3 hours,2,3–5 hours before bed,30-60 Minutes,3,Morning,3
29/07/2026 22:07:53,26,Male,3–5 hours,1–2 hours,2,3–5 hours before bed,Under 30 Minutes,5,Night,1
29/07/2026 22:12:32,26,Female,6–8 hours,1–2 hours,1,6+ hours before bed,None,3,Night,3
